id,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0jPLBur1qXRfj3pbuJSX03,0.275,0.6970000000000001,220707,0.675,0.0,0.0767,-4.688,0.317,158.13299999999995,0.292
43yQh7QxAPYQ7NifYGMboM,0.0327,0.705,105231,0.8490000000000001,0.0,0.152,-5.565,0.181,129.914,0.491
2OkrxnSE2OG0bOGjniOCl6,0.946,0.399,55401,0.897,0.942,0.111,-30.057,0.0393,178.74599999999995,0.0375
5UJ3N25ukIruG4Do8RDHra,0.0829,0.979,151249,0.401,0.011,0.0657,-7.401,0.407,120.002,0.411
07egAPsYgrxjkEnZxs1ePJ,0.0366,0.67,281876,0.531,0.0,0.132,-7.294,0.0629,100.006,0.186
6Ehy8wRUYjAZcMMRCxMZVM,0.00286,0.687,179155,0.799,0.0565,0.21,-1.4980000000000002,0.0354,142.0,0.67
55GLc4nywcX4aIlOcx1u06,0.219,0.701,239160,0.624,0.0,0.107,-11.115,0.306,93.024,0.383
1wsnCfewxZlCs7cJxkaMZM,0.0102,0.474,274282,0.843,0.104,0.362,-5.909,0.272,97.691,0.433
6ae29ZzSPYq61ARnOn3CGh,0.265,0.736,189296,0.493,0.0,0.247,-7.224,0.0592,141.997,0.364
2eAAEa8pxKF7My0EO4rFgR,0.0188,0.654,178583,0.7959999999999999,0.0,0.0948,-4.761,0.122,108.854,0.491
2RGe02P8xxSF9syj0ltPjX,0.0264,0.431,270927,0.773,0.0,0.348,-5.002,0.0636,111.387,0.504
4UCiDcv0yO9tNLZbkZeBBA,0.7120000000000001,0.5660000000000001,281054,0.394,2.59e-05,0.156,-11.438,0.0445,78.94800000000002,0.6
1MzaBCyq0TX0ScxSmG6Cd1,0.565,0.565,241625,0.324,2.17e-05,0.381,-9.137,0.0342,77.495,0.139
69UqtTHfUKAJweQwEStRzC,0.0542,0.412,214680,0.477,0.7979999999999999,0.0975,-9.381,0.029,75.30199999999998,0.141
6dlw8Uhym4Jhab0a7HFUeD,0.7559999999999999,0.6729999999999999,201256,0.285,2.05e-06,0.0733,-9.69,0.0565,79.002,0.123
1iJdIZU5Ffgixa92wrcZZC,0.856,0.633,325155,0.565,0.00542,0.381,-11.125,0.0614,109.951,0.77
1dekgAFF9uTCqLsklDaCWb,0.00183,0.483,221560,0.907,0.0509,0.152,-7.015,0.0413,96.014,0.296
3GmOwe6h5iFJxjXlwjlhkU,0.187,0.6990000000000001,173245,0.392,0.0,0.0999,-9.201,0.272,80.46,0.116
2bpmteM9wnfynV1MNkI898,0.334,0.742,166773,0.4,1.56e-05,0.105,-5.754,0.0357,125.854,0.705
1rXojdsUqqxGj2WCmJGWHP,0.246,0.777,238813,0.911,0.0,0.257,-3.2230000000000003,0.173,96.017,0.7040000000000001
2eqzI3kGqPk93vz8RkASfA,0.8690000000000001,0.643,138006,0.199,0.0,0.106,-12.19,0.0581,46.572,0.386
1KeZgPUr54C8iz3FjqzVoz,0.0105,0.615,224773,0.564,0.0,0.148,-6.384,0.0291,103.006,0.454
18aImFRizYHe2MwD5EDWZh,0.411,0.8320000000000001,227260,0.316,6.59e-05,0.258,-15.258,0.063,116.973,0.329
5daPDkqS2ftQClyDn1pSk2,0.847,0.337,184527,0.273,0.0,0.121,-9.258,0.042,171.528,0.5589999999999999
7rfiXyFb5M9BqdkvKvVEiB,0.0453,0.728,228707,0.8109999999999999,2.07e-06,0.362,-4.2780000000000005,0.0564,114.995,0.705
4vxkeaDlicwTlHHKKNm12r,0.865,0.633,72307,0.175,0.0677,0.496,-21.062,0.325,94.451,0.58
2NbPNiOnkSyWNgbqtsFQZX,0.00161,0.764,105000,0.528,0.0,0.16,-7.247000000000001,0.248,160.009,0.6
3YTqCVdqwsql9yQKshguT6,0.262,0.7440000000000001,186667,0.43,0.0,0.104,-9.835,0.162,89.993,0.286
3EWQsarNCItwHn9hE2MHTn,0.422,0.482,230832,0.7390000000000001,1.87e-05,0.468,-5.476,0.0342,155.93200000000004,0.613
05GvwwTLLID738BbKN1ze0,0.691,0.789,196375,0.435,0.0418,0.107,-9.506,0.149,122.995,0.166
1vlzSY7AttAiAvSEe1JbVs,0.883,0.578,84024,0.172,3.32e-06,0.401,-13.684,0.35,138.717,0.424
2hq1MJnuAPnJfNm3xGdqZp,0.257,0.742,219640,0.6559999999999999,0.000212,0.286,-7.091,0.058,97.245,0.307
4hnPw0BbVyoI1abKJZPSaS,0.0042,0.7120000000000001,195032,0.593,0.0,0.114,-7.6720000000000015,0.0358,149.967,0.5489999999999999
1KTMZ2DeqT4oqIJ7Co5F6R,0.219,0.7490000000000001,150547,0.401,0.0931,0.206,-10.856,0.0391,138.811,0.616
4rKMHsVEAGTsA7hpKXnWrM,0.602,0.835,122205,0.288,0.00461,0.352,-14.701,0.341,109.934,0.359
3YFjIEWKr3Da6rJjVWAoxH,0.278,0.619,190707,0.471,0.0,0.234,-5.195,0.0516,170.192,0.8170000000000001
78RskfTZHN7IYXY1ZxNbKY,0.995,0.555,76779,0.0306,0.958,0.122,-23.42,0.0545,114.703,0.474
2O1qYJTA2BI5ypFFqEZhh4,0.0209,0.6509999999999999,274880,0.68,0.0,0.381,-6.057,0.0647,127.001,0.092
4m8QO7mDC4kqWTKSLqsZS8,0.252,0.334,297387,0.6920000000000001,0.00122,0.19,-5.567,0.0352,174.33599999999996,0.8240000000000001
6fkL9CjWmjeV6vfDxTp9OZ,0.204,0.825,199137,0.302,0.0,0.0762,-11.651,0.282,94.956,0.747
7whWjytFNIYch6MAnIWZTS,0.281,0.754,249168,0.823,0.0,0.107,-5.502000000000002,0.22,125.932,0.5479999999999999
3U1VKCmUgzdz83Wlw4kBle,0.996,0.144,201680,0.616,0.466,0.152,-41.537,0.0975,138.619,0.0076799999999999
6BaCraQ9xeLYg4Sb9TBT2X,0.0642,0.893,223413,0.745,0.0,0.0943,-3.105,0.0571,101.018,0.872
2cAQbyW6SydB3KJsq8wc3y,0.0244,0.706,346388,0.813,0.0,0.0986,-5.122000000000001,0.0729,144.02100000000004,0.423
6miZ8db7XqaLpgKip2Ubhd,0.0575,0.0569,200147,0.0136,0.907,0.378,-16.750999999999998,0.103,70.357,0.0309
09kaIU1AZoo2MRk46s6AEi,0.895,0.328,166693,0.242,0.0,0.146,-9.923,0.0455,77.02600000000002,0.258
17wkvbPwoOj8iNb6r2y6nG,0.374,0.568,177653,0.49,0.0,0.56,-5.026,0.0267,166.077,0.741
